Fighter,Wins,Losses,Stance,Weight Class,Total Rounds Fought,Title fights,KOs,Submissions,TKO/DoctorStoppage,age,Gender,Height,Weight,Reach,WinRate
Nico Musoke,3,2,Orthodox,Welterweight,13,0,0,1,0,31,MALE,182.88,170,190.5,0.6
Luana Pinheiro,4,2,Orthodox,Women's Strawweight,13,0,1,0,0,31,FEMALE,157.48,115,157.48,0.667
Lucas Martins,3,3,Southpaw,Featherweight,13,0,2,1,0,27,MALE,182.88,145,182.88,0.5
Jonathan Goulet,4,4,Orthodox,Welterweight,13,0,1,1,1,30,MALE,182.88,170,185.42,0.5
Natalia Silva,5,0,Southpaw,Women's Flyweight,13,0,2,0,0,27,FEMALE,162.56,125,165.1,1.0
Rodolfo Vieira,4,2,Orthodox,Middleweight,13,0,0,4,0,34,MALE,182.88,185,185.42,0.667
Rogerio Bontorin,3,2,Orthodox,Flyweight,13,0,1,1,0,29,MALE,165.1,125,170.18,0.6
Mairbek Taisumov,7,1,Orthodox,Lightweight,13,0,5,0,0,31,MALE,175.26,155,185.42,0.875
Maki Pitolo,2,4,Orthodox,Middleweight,13,0,2,0,0,31,MALE,177.8,185,190.5,0.333
Leslie Smith,3,3,Orthodox,Women's Bantamweight,13,0,1,0,0,34,FEMALE,175.26,135,167.64,0.5
Jimmy Crute,5,3,Orthodox,Light Heavyweight,13,0,3,2,0,27,MALE,187.96,205,187.96,0.625
Benoit Saint Denis,5,2,Southpaw,Lightweight,13,0,3,2,0,28,MALE,180.34,155,185.42,0.714
Jack Della Maddalena,7,0,Switch,Welterweight,13,0,3,1,0,27,MALE,180.34,170,185.42,1.0
Carlos Ulberg,7,1,Orthodox,Light Heavyweight,13,0,5,1,0,34,MALE,193.04,205,195.58,0.875
Amir Albazi,5,0,Orthodox,Flyweight,13,0,1,2,0,31,MALE,165.1,125,172.72,1.0
David Teymur,5,0,Southpaw,Lightweight,13,0,2,0,0,29,MALE,175.26,155,185.42,1.0
Cameron Saaiman,4,1,Southpaw,Bantamweight,13,0,3,0,0,23,MALE,172.72,135,170.18,0.8
Impa Kasanganay,4,1,Orthodox,Welterweight,13,0,0,1,0,27,MALE,180.34,170,190.5,0.8
