Fighter,Wins,Losses,Stance,Weight Class,Total Rounds Fought,Title fights,KOs,Submissions,TKO/DoctorStoppage,age,Gender,Height,Weight,Reach,WinRate
Mana Martinez,2,2,Orthodox,Bantamweight,10,0,0,0,0,26,MALE,177.8,135,177.8,0.5
Leandro Issa,2,2,Orthodox,Bantamweight,10,0,0,2,0,32,MALE,170.18,135,175.26,0.5
Mick Parkin,4,0,Orthodox,Heavyweight,10,0,0,1,0,28,MALE,193.04,265,200.66,1.0
Malcolm Gordon,2,4,Switch,Flyweight,10,0,1,0,0,33,MALE,170.18,125,180.34,0.333
Jon Madsen,4,0,Orthodox,Heavyweight,10,0,1,0,0,31,MALE,182.88,240,182.88,1.0
Chris Duncan,3,2,Orthodox,Lightweight,10,0,1,0,0,31,MALE,177.8,155,180.34,0.6
Fabricio Camoes,1,4,Orthodox,Lightweight,10,0,0,1,0,35,MALE,177.8,155,185.42,0.2
Henrique Da Silva,2,3,Orthodox,Light Heavyweight,10,0,1,1,0,28,MALE,190.5,205,193.04,0.4
Raul Rosas Jr.,4,1,Switch,Bantamweight,10,0,1,2,0,19,MALE,175.26,135,170.18,0.8
Victoria Leonardo,2,3,Orthodox,Women's Flyweight,10,0,1,0,0,34,FEMALE,165.1,125,162.56,0.4
Jessica Aguilar,1,3,Orthodox,Women's Strawweight,10,0,0,0,0,36,FEMALE,160.02,115,160.02,0.25
Alex Chambers,1,3,Switch,Women's Strawweight,10,0,0,1,0,39,FEMALE,160.02,115,160.02,0.25
Fernie Garcia,1,3,Orthodox,Featherweight,10,0,1,0,0,31,MALE,170.18,135,170.18,0.25
Tae Hyun Bang,2,2,Switch,Lightweight,10,0,1,0,0,33,MALE,175.26,155,180.34,0.5
Sean Soriano,0,4,Orthodox,Featherweight,10,0,0,0,0,32,MALE,175.26,145,177.8,0.0
Brandon Thatch,2,3,Switch,Welterweight,10,0,2,0,0,31,MALE,187.96,170,187.96,0.4
Preston Parsons,2,2,Orthodox,Welterweight,10,0,0,0,0,29,MALE,180.34,170,180.34,0.5
Akira Corassani,3,2,Orthodox,Featherweight,10,0,0,0,0,32,MALE,172.72,145,172.72,0.6
Sedriques Dumas,3,2,Orthodox,Middleweight,10,0,0,1,0,28,MALE,187.96,185,200.66,0.6
Kay Hansen,1,2,Orthodox,Women's Flyweight,9,0,0,1,0,22,FEMALE,157.48,115,160.02,0.333
Kazuki Tokudome,1,2,Southpaw,Lightweight,9,0,0,0,0,27,MALE,180.34,155,185.42,0.333
Carlos Candelario,1,2,Southpaw,Flyweight,9,0,0,0,0,31,MALE,172.72,125,172.72,0.333
Yazmin Jauregui,3,1,Orthodox,Women's Strawweight,9,0,1,0,0,25,FEMALE,160.02,115,162.56,0.75
William Gomis,3,0,Southpaw,Featherweight,9,0,1,0,0,27,MALE,182.88,145,185.42,1.0
Elizabeth Phillips,1,2,Orthodox,Women's Bantamweight,9,0,0,0,0,30,FEMALE,167.64,135,165.1,0.333
Louis Gaudinot,1,3,Orthodox,Flyweight,9,0,0,1,0,30,MALE,160.02,125,160.02,0.25
Evan Elder,1,2,Switch,Welterweight,9,0,0,0,0,27,MALE,177.8,155,182.88,0.333
Emil Meek,1,2,Switch,Welterweight,9,0,0,0,0,31,MALE,180.34,170,187.96,0.333
Carlston Harris,4,1,Orthodox,Welterweight,9,0,1,2,0,36,MALE,182.88,170,193.04,0.8
Liu Pingyuan,2,1,Orthodox,Bantamweight,9,0,0,0,0,26,MALE,167.64,135,182.88,0.667
Rafael Alves,2,2,Orthodox,Lightweight,9,0,0,2,0,32,MALE,172.72,155,172.72,0.5
Oban Elliott,3,0,Orthodox,Welterweight,9,0,0,0,0,26,MALE,182.88,170,182.88,1.0
Lance Benoist,1,2,Southpaw,Welterweight,9,0,0,0,0,25,MALE,180.34,170,185.42,0.333
Caio Machado,1,2,Southpaw,Light Heavyweight,9,0,0,0,0,30,MALE,193.04,250,198.12,0.333
Terrion Ware,0,3,Orthodox,Bantamweight,9,0,0,0,0,32,MALE,172.72,135,180.34,0.0
Francis Marshall,2,2,Orthodox,Featherweight,9,0,1,0,0,25,MALE,175.26,145,182.88,0.5
Polo Reyes,4,1,Orthodox,Lightweight,9,0,3,0,0,34,MALE,180.34,155,180.34,0.8
Brady Hiestand,2,1,Orthodox,Bantamweight,9,0,1,0,0,25,MALE,172.72,135,180.34,0.667
Tom Aspinall,7,1,Orthodox,Heavyweight,9,2,5,2,0,31,MALE,195.58,256,198.12,0.875
Eric Spicely,2,4,Orthodox,Middleweight,9,0,0,2,0,32,MALE,185.42,185,185.42,0.333
Oskar Piechota,2,3,Southpaw,Middleweight,9,0,1,0,0,30,MALE,182.88,185,193.04,0.4
Naoyuki Kotani,0,4,Southpaw,Lightweight,9,0,0,0,0,33,MALE,172.72,155,167.64,0.0
Veronica Macedo,1,3,Southpaw,Women's Bantamweight,9,0,0,1,0,24,FEMALE,162.56,125,162.56,0.25
Marcin Held,0,3,Orthodox,Lightweight,9,0,0,0,0,25,MALE,175.26,155,180.34,0.0
Vanessa Melo,0,3,Orthodox,Women's Bantamweight,9,0,0,0,0,32,FEMALE,165.1,135,165.1,0.0
Shane Campbell,1,3,Orthodox,Lightweight,9,0,0,0,0,29,MALE,182.88,155,180.34,0.25
Danny Chavez,1,1,Orthodox,Featherweight,9,0,0,0,0,35,MALE,172.72,145,170.18,0.5
Shana Dobson,2,4,Orthodox,Women's Flyweight,9,0,1,0,0,31,FEMALE,167.64,125,175.26,0.333
Isaac Vallie-Flagg,1,2,Orthodox,Lightweight,9,0,0,0,0,36,MALE,172.72,155,172.72,0.333
Jimmy Flick,3,2,Orthodox,Flyweight,9,0,0,3,0,33,MALE,170.18,125,172.72,0.6
Miguel Torres,2,1,Orthodox,Bantamweight,9,0,0,0,0,31,MALE,175.26,135,193.04,0.667
Danny Martinez,0,3,Orthodox,Bantamweight,9,0,0,0,0,30,MALE,167.64,125,170.18,0.0
Albert Duraev,3,1,Orthodox,Middleweight,9,0,0,1,0,34,MALE,180.34,185,190.5,0.75
Allan Nascimento,1,2,Orthodox,Flyweight,9,0,0,0,0,31,MALE,172.72,125,175.26,0.333
Marco Beltran,3,1,Orthodox,Catch Weight,9,0,0,1,0,31,MALE,172.72,125,175.26,0.75
Seohee Ham,1,2,Southpaw,Women's Strawweight,9,0,0,0,0,29,FEMALE,157.48,115,157.48,0.333
Joby Sanchez,1,3,Orthodox,Flyweight,9,0,0,0,0,27,MALE,167.64,135,172.72,0.25
Jodie Esquibel,0,3,Orthodox,Women's Strawweight,9,0,0,0,0,33,FEMALE,154.94,115,162.56,0.0
Aleksei Kunchenko,2,1,Orthodox,Welterweight,9,0,0,0,0,35,MALE,172.72,170,177.8,0.667
Lucas Almeida,1,3,Orthodox,Featherweight,9,0,1,0,0,33,MALE,180.34,145,180.34,0.25
Alexander Munoz,1,2,Switch,Lightweight,9,0,0,0,0,33,MALE,175.26,155,182.88,0.333
Clay Collard,1,2,Orthodox,Featherweight,9,0,0,0,0,22,MALE,180.34,145,185.42,0.333
Jessin Ayari,1,2,Orthodox,Welterweight,9,0,0,0,0,28,MALE,182.88,155,185.42,0.333
Ivan Jorge,2,1,Orthodox,Lightweight,9,0,0,0,0,34,MALE,175.26,155,185.42,0.667
Aj Fletcher,2,2,Switch,Welterweight,9,0,1,1,0,26,MALE,177.8,170,170.18,0.5
Curtis Millender,3,1,Orthodox,Welterweight,9,0,1,0,0,31,MALE,187.96,170,193.04,0.75
Jarno Errens,1,2,Orthodox,Featherweight,9,0,0,0,0,29,MALE,180.34,145,185.42,0.333
Viviane Pereira,2,1,Orthodox,Women's Strawweight,9,0,0,0,0,24,FEMALE,154.94,115,160.02,0.667
Abus Magomedov,2,2,Orthodox,Middleweight,9,0,1,0,0,34,MALE,187.96,185,198.12,0.5
Zhang Lipeng,2,1,Southpaw,Lightweight,9,1,0,0,0,25,MALE,180.34,155,180.34,0.667
Jason Witt,2,3,Orthodox,Catch Weight,9,0,0,1,0,35,MALE,177.8,170,177.8,0.4
Jason Young,1,2,Orthodox,Featherweight,9,0,0,0,0,26,MALE,175.26,145,185.42,0.333
Jay Perrin,0,3,Switch,Bantamweight,9,0,0,0,0,29,MALE,170.18,135,170.18,0.0
Martin Day,0,3,Orthodox,Bantamweight,9,0,0,0,0,32,MALE,177.8,135,185.42,0.0
Jenel Lausa,1,2,Orthodox,Flyweight,9,0,0,0,0,29,MALE,165.1,125,172.72,0.333
Jeremy Kennedy,3,0,Orthodox,Lightweight,9,0,0,0,0,25,MALE,180.34,145,180.34,1.0
Jerome Rivera,1,3,Southpaw,Flyweight,9,0,0,0,0,26,MALE,177.8,125,182.88,0.25
Thibault Gouti,1,4,Orthodox,Lightweight,9,0,1,0,0,31,MALE,177.8,155,182.88,0.2
Shara Magomedov,3,0,Orthodox,Middleweight,9,0,1,0,0,30,MALE,187.96,185,185.42,1.0
Shanna Young,1,3,Orthodox,Women's Flyweight,9,0,1,0,0,31,FEMALE,170.18,125,165.1,0.25
Chris Kelades,2,1,Orthodox,Flyweight,9,0,0,0,0,35,MALE,170.18,125,172.72,0.667
Pascal Krauss,2,1,Orthodox,Welterweight,9,0,0,0,0,26,MALE,185.42,170,182.88,0.667
Jordan Johnson,3,0,Orthodox,Light Heavyweight,9,0,0,0,0,29,MALE,187.96,205,200.66,1.0
Dequan Townsend,0,3,Orthodox,Middleweight,9,0,0,0,0,34,MALE,190.5,205,200.66,0.0
Josefine Knutsson,3,0,Orthodox,Women's Strawweight,9,0,0,0,0,28,FEMALE,160.02,115,152.4,1.0
Chris Barnett,2,2,Orthodox,Heavyweight,9,0,2,0,0,38,MALE,175.26,265,190.5,0.5
Ronnie Lawrence,3,0,Switch,Bantamweight,9,0,1,0,0,30,MALE,172.72,135,172.72,1.0
Luke Jumeau,2,1,Orthodox,Welterweight,9,0,0,0,0,31,MALE,180.34,170,182.88,0.667
Jordan Wright,2,4,Orthodox,Light Heavyweight,9,0,2,0,0,31,MALE,187.96,205,195.58,0.333
Klidson Abreu,1,2,Orthodox,Light Heavyweight,9,0,0,0,0,27,MALE,182.88,205,187.96,0.333
Luis Saldana,2,1,Orthodox,Featherweight,9,0,1,0,0,31,MALE,180.34,145,185.42,0.667
Guram Kutateladze,1,2,Orthodox,Lightweight,9,0,0,0,0,32,MALE,180.34,155,182.88,0.333
Talita Bernardo,1,2,Orthodox,Women's Bantamweight,9,0,0,0,0,32,FEMALE,162.56,135,172.72,0.333
Rob Whiteford,2,2,Southpaw,Featherweight,9,0,1,0,0,32,MALE,175.26,145,175.26,0.5
Chris Clements,2,2,Orthodox,Welterweight,9,0,1,0,0,39,MALE,177.8,170,177.8,0.5
Jp Buys,1,4,Orthodox,Bantamweight,9,0,0,1,0,27,MALE,165.1,135,170.18,0.2
Jonathan Brookins,2,2,Southpaw,Featherweight,9,1,1,0,0,27,MALE,182.88,145,185.42,0.5
Chris Daukaus,4,3,Orthodox,Heavyweight,9,0,4,0,0,33,MALE,190.5,250,193.04,0.571
Muhammad Naimov,3,1,Orthodox,Featherweight,9,0,2,0,0,29,MALE,175.26,145,177.8,0.75
Alptekin Ozkilic,1,2,Orthodox,Flyweight,9,0,0,0,0,29,MALE,165.1,125,165.1,0.333
Vinny Magalhaes,1,3,Orthodox,Light Heavyweight,9,1,0,1,0,29,MALE,190.5,205,200.66,0.25
Gasan Umalatov,1,2,Orthodox,Welterweight,9,0,0,0,0,33,MALE,180.34,170,180.34,0.333
Henry Briones,1,3,Orthodox,Bantamweight,9,0,0,1,0,37,MALE,172.72,135,175.26,0.25
Will Campuzano,0,3,Orthodox,Flyweight,9,0,0,0,0,27,MALE,175.26,125,177.8,0.0
Garrett Armfield,2,2,Orthodox,Bantamweight,9,0,1,0,0,28,MALE,167.64,135,177.8,0.5
Gabriella Fernandes,1,2,Southpaw,Women's Flyweight,9,0,0,0,0,31,FEMALE,167.64,125,167.64,0.333
Herbert Burns,3,3,Orthodox,Featherweight,9,0,1,2,0,36,MALE,175.26,145,185.42,0.5
Chepe Mariscal,3,0,Orthodox,Featherweight,8,0,1,0,0,31,MALE,170.18,145,175.26,1.0
Tim Hague,1,3,Orthodox,Heavyweight,8,0,0,1,0,27,MALE,193.04,260,193.04,0.25
Leonardo Mafra,1,2,Orthodox,Lightweight,8,0,0,0,0,26,MALE,177.8,155,177.8,0.333
Cesar Almeida,2,1,Orthodox,Middleweight,8,0,1,0,0,36,MALE,185.42,185,187.96,0.667
Colton Smith,1,2,Orthodox,Lightweight,8,1,0,0,0,26,MALE,182.88,155,180.34,0.333
Devonte Smith,4,2,Orthodox,Lightweight,8,0,4,0,0,28,MALE,175.26,155,193.04,0.667
Tim Credeur,3,1,Orthodox,Middleweight,8,0,2,1,0,33,MALE,190.5,185,190.5,0.75
William Patolino,1,2,Orthodox,Welterweight,8,1,0,0,0,23,MALE,180.34,170,190.5,0.333
Luan Chagas,1,2,Orthodox,Welterweight,8,0,0,1,0,24,MALE,182.88,170,190.5,0.333
Diego Rivas,2,1,Orthodox,Bantamweight,8,0,1,0,0,26,MALE,172.72,145,175.26,0.667
Mason Jones,1,1,Orthodox,Lightweight,8,0,0,0,0,27,MALE,177.8,155,187.96,0.5
Cristiano Marcello,1,2,Orthodox,Lightweight,8,0,0,0,0,36,MALE,175.26,155,182.88,0.333
Loik Radzhabov,2,1,Orthodox,Lightweight,8,0,1,0,0,33,MALE,180.34,155,175.26,0.667
Danilo Marques,2,1,Orthodox,Light Heavyweight,8,0,0,1,0,36,MALE,198.12,205,195.58,0.667
Vinicius Salvador,1,2,Southpaw,Bantamweight,8,0,1,0,0,27,MALE,170.18,135,177.8,0.333
Mark Eddiva,1,2,Orthodox,Featherweight,8,0,0,0,0,30,MALE,172.72,145,172.72,0.333
Dustin Kimura,2,2,Orthodox,Bantamweight,8,0,0,2,0,25,MALE,170.18,135,180.34,0.5
Weili Zhang,4,0,Switch,Women's Strawweight,8,1,1,1,0,30,FEMALE,162.56,115,160.02,1.0
Darrell Horcher,1,2,Southpaw,Lightweight,8,0,0,0,0,31,MALE,177.8,155,177.8,0.333
Marcelo Guimaraes,2,1,Orthodox,Middleweight,8,0,0,0,0,32,MALE,182.88,185,185.42,0.667
Mike Malott,4,1,Orthodox,Welterweight,8,0,1,3,0,32,MALE,185.42,170,185.42,0.8
Mike Grundy,1,2,Orthodox,Featherweight,8,0,1,0,0,35,MALE,170.18,145,182.88,0.333
Mallory Martin,2,2,Orthodox,Women's Strawweight,8,0,0,1,0,27,FEMALE,162.56,115,160.02,0.5
Timur Valiev,2,0,Orthodox,Catch Weight,8,0,0,0,0,32,MALE,167.64,145,170.18,1.0
Christian Leroy Duncan,3,1,Switch,Middleweight,8,0,3,0,0,29,MALE,187.96,185,200.66,0.75
Ning Guangyou,2,1,Southpaw,Bantamweight,8,1,1,0,0,34,MALE,162.56,145,162.56,0.667
Mike Breeden,0,4,Orthodox,Lightweight,8,0,0,0,0,34,MALE,177.8,155,177.8,0.0
Claude Patrick,3,0,Orthodox,Welterweight,8,0,0,1,0,31,MALE,180.34,170,190.5,1.0
Denis Tiuliulin,1,4,Orthodox,Middleweight,8,0,1,0,0,36,MALE,185.42,185,195.58,0.2
Edgar Chairez,1,2,Orthodox,Flyweight,8,0,0,1,0,28,MALE,170.18,125,180.34,0.333
Orion Cosce,2,1,Switch,Welterweight,8,0,1,0,0,28,MALE,180.34,170,180.34,0.667
Nad Narimani,2,1,Orthodox,Featherweight,8,0,0,0,0,33,MALE,172.72,145,177.8,0.667
Matt Sayles,2,2,Orthodox,Featherweight,8,0,1,1,0,27,MALE,170.18,145,172.72,0.5
Jordan Rinaldi,2,2,Orthodox,Lightweight,8,0,0,1,0,31,MALE,177.8,145,182.88,0.5
Jesus Aguilar,3,1,Orthodox,Flyweight,8,0,1,1,0,28,MALE,162.56,125,157.48,0.75
Sarah Kaufman,1,2,Orthodox,Women's Bantamweight,8,0,0,0,0,30,FEMALE,165.1,135,170.18,0.333
Jeongyeong Lee,4,0,Orthodox,Featherweight,8,1,1,1,0,28,MALE,177.8,145,185.42,1.0
Zac Pauga,1,2,Orthodox,Light Heavyweight,8,0,0,0,0,35,MALE,187.96,205,193.04,0.333
Julia Polastri,1,2,Orthodox,Women's Strawweight,8,0,0,1,0,26,FEMALE,157.48,115,160.02,0.333
Andrew Holbrook,2,2,Southpaw,Lightweight,8,0,0,0,0,31,MALE,180.34,155,177.8,0.5
Rafael Feijao,1,3,Orthodox,Light Heavyweight,8,0,1,0,0,35,MALE,185.42,205,185.42,0.25
Andre Lima,3,0,Orthodox,Flyweight,8,0,0,0,0,25,MALE,170.18,125,170.18,1.0
Baergeng Jieleyisi,2,1,Orthodox,Bantamweight,8,0,0,1,0,28,MALE,175.26,135,177.8,0.667
Austin Arnett,1,2,Orthodox,Featherweight,8,0,0,0,0,27,MALE,182.88,145,182.88,0.333
Karine Silva,5,0,Orthodox,Women's Flyweight,8,0,0,4,0,30,FEMALE,165.1,125,170.18,1.0
Igor Araujo,2,1,Orthodox,Welterweight,8,0,0,0,0,34,MALE,185.42,170,195.58,0.667
Kamuela Kirk,1,2,Switch,Lightweight,8,0,0,0,0,29,MALE,177.8,155,190.5,0.333
Randy Costa,2,3,Switch,Bantamweight,8,0,2,0,0,28,MALE,175.26,135,185.42,0.4
Yorgan De Castro,2,2,Orthodox,Heavyweight,8,0,2,0,0,34,MALE,182.88,250,187.96,0.5
Istela Nunes,0,3,Orthodox,Women's Strawweight,8,0,0,0,0,30,FEMALE,162.56,115,167.64,0.0
Geane Herrera,1,2,Orthodox,Flyweight,8,0,1,0,0,26,MALE,165.1,125,167.64,0.333
Amanda Cooper,2,3,Switch,Women's Strawweight,8,1,1,0,0,27,FEMALE,160.02,115,162.56,0.4
Tony Kelley,2,1,Switch,Bantamweight,8,0,1,0,0,35,MALE,175.26,135,177.8,0.667
Alex Da Silva,1,2,Orthodox,Lightweight,8,0,0,0,0,26,MALE,172.72,155,185.42,0.333
Ike Villanueva,1,4,Orthodox,Light Heavyweight,8,0,1,0,0,38,MALE,185.42,225,185.42,0.2
Goran Reljic,1,2,Southpaw,Light Heavyweight,8,0,1,0,0,26,MALE,190.5,205,205.74,0.333
Asu Almabayev,3,0,Orthodox,Flyweight,8,0,0,1,0,30,MALE,162.56,125,165.1,1.0
Keith Wisniewski,0,3,Orthodox,Welterweight,8,0,0,0,0,31,MALE,182.88,170,190.5,0.0
Jason High,2,2,Southpaw,Welterweight,8,0,0,1,0,32,MALE,172.72,155,180.34,0.5
Josh Quinlan,1,2,Orthodox,Welterweight,8,0,1,0,0,31,MALE,182.88,170,182.88,0.333
John Allan,0,2,Orthodox,Light Heavyweight,8,0,0,0,0,28,MALE,185.42,205,190.5,0.0
Steven Nguyen,2,1,Switch,Featherweight,8,0,1,0,0,30,MALE,180.34,145,185.42,0.667
Paul Buentello,3,2,Orthodox,Heavyweight,8,1,2,1,0,36,MALE,187.96,245,195.58,0.6
Kiichi Kunimoto,3,1,Orthodox,Welterweight,8,0,0,1,0,36,MALE,177.8,170,180.34,0.75
Jarred Brooks,1,2,Switch,Flyweight,8,0,0,0,0,25,MALE,160.02,125,157.48,0.333
Payton Talbott,3,0,Switch,Bantamweight,8,0,1,1,0,25,MALE,177.8,135,177.8,1.0
Emily Whitmire,2,3,Orthodox,Women's Flyweight,8,0,0,1,0,30,FEMALE,165.1,125,160.02,0.4
Josh Samman,3,1,Orthodox,Middleweight,8,0,2,1,0,28,MALE,190.5,185,200.66,0.75
Aaron Phillips,0,3,Southpaw,Bantamweight,8,0,0,0,0,33,MALE,175.26,135,180.34,0.0
James Head,2,2,Orthodox,Welterweight,8,0,0,1,0,29,MALE,185.42,170,185.42,0.5
Joseph Holmes,2,2,Orthodox,Middleweight,8,0,0,2,0,27,MALE,193.04,185,203.2,0.5
Anton Turkalj,1,3,Orthodox,Light Heavyweight,8,0,0,0,0,27,MALE,193.04,205,198.12,0.25
Arjan Bhullar,2,1,Orthodox,Heavyweight,8,0,0,0,0,32,MALE,185.42,245,190.5,0.667
Kleydson Rodrigues,2,2,Orthodox,Flyweight,8,0,1,0,0,28,MALE,165.1,135,170.18,0.5
Rolando Dy,1,2,Orthodox,Featherweight,8,0,0,0,0,27,MALE,172.72,145,175.26,0.333
Jeff Molina,3,0,Orthodox,Flyweight,8,0,1,0,0,24,MALE,167.64,125,175.26,1.0
Esteban Ribovics,3,1,Orthodox,Lightweight,8,0,2,0,0,28,MALE,177.8,155,175.26,0.75
Bobby Voelker,0,3,Orthodox,Welterweight,8,0,0,0,0,35,MALE,182.88,170,190.5,0.0
Sergei Pavlovich,6,2,Southpaw,Heavyweight,8,1,6,0,0,32,MALE,190.5,257,213.36,0.75
Manny Bermudez,3,1,Orthodox,Catch Weight,7,0,0,3,0,25,MALE,177.8,145,180.34,0.75
Miranda Granger,1,2,Orthodox,Women's Strawweight,7,0,0,0,0,30,FEMALE,170.18,115,172.72,0.333
Viscardi Andrade,2,1,Orthodox,Welterweight,7,0,1,0,0,32,MALE,180.34,170,190.5,0.667
Ryan Janes,1,2,Orthodox,Middleweight,7,0,0,0,0,36,MALE,190.5,185,193.04,0.333
Anderson Dos Santos,1,2,Orthodox,Bantamweight,7,0,0,1,0,36,MALE,165.1,135,177.8,0.333
Dave Herman,1,3,Orthodox,Heavyweight,7,0,1,0,0,28,MALE,193.04,242,193.04,0.25
Magomed Mustafaev,3,1,Orthodox,Lightweight,7,0,3,0,1,31,MALE,172.72,155,180.34,0.75
Anthony Birchak,2,3,Orthodox,Bantamweight,7,0,1,0,0,34,MALE,172.72,135,175.26,0.4
Gerald Harris,3,0,Southpaw,Middleweight,7,0,3,0,0,31,MALE,180.34,185,195.58,1.0
Darren Uyenoyama,2,1,Orthodox,Flyweight,7,0,0,1,0,34,MALE,167.64,125,162.56,0.667
Jim Alers,1,2,Orthodox,Featherweight,7,0,0,0,0,29,MALE,175.26,145,180.34,0.333
Darko Stosic,1,2,Orthodox,Light Heavyweight,7,0,1,0,0,27,MALE,182.88,205,193.04,0.333
Waylon Lowe,2,1,Southpaw,Lightweight,7,0,0,0,0,30,MALE,170.18,145,174.0,0.667
Jaqueline Amorim,2,1,Orthodox,Women's Strawweight,7,0,1,1,0,29,FEMALE,160.02,115,172.72,0.667
James Wilks,2,1,Orthodox,Welterweight,7,1,0,1,0,32,MALE,185.42,170,190.5,0.667
James Llontop,1,2,Orthodox,Lightweight,7,0,0,0,0,25,MALE,182.88,155,185.42,0.333
Abubakar Nurmagomedov,2,1,Orthodox,Welterweight,7,0,0,0,0,33,MALE,180.34,170,182.88,0.667
Megan Anderson,3,2,Orthodox,Women's Featherweight,7,0,2,1,0,31,FEMALE,182.88,145,182.88,0.6
Jay Hieron,0,3,Orthodox,Welterweight,7,0,0,0,0,36,MALE,182.88,170,190.5,0.0
Adam Milstead,1,2,Orthodox,Light Heavyweight,7,0,1,0,0,31,MALE,190.5,205,193.04,0.333
Melquizael Costa,1,2,Southpaw,Featherweight,7,0,0,0,0,27,MALE,177.8,145,180.34,0.333
Jeff Hughes,0,2,Orthodox,Heavyweight,7,0,0,0,0,32,MALE,187.96,250,195.58,0.0
Daniel Lacerda,0,4,Switch,Flyweight,7,0,0,0,0,27,MALE,167.64,125,177.8,0.0
Jeka Saragih,3,1,Orthodox,Featherweight,7,1,3,0,0,29,MALE,172.72,145,175.26,0.75
Cody Pfister,1,2,Orthodox,Lightweight,7,0,0,0,0,26,MALE,177.8,155,185.42,0.333
Shinsho Anzai,2,1,Orthodox,Welterweight,7,0,0,0,1,32,MALE,170.18,170,177.8,0.667
Michael Kuiper,1,2,Orthodox,Middleweight,7,0,1,0,0,24,MALE,182.88,185,185.42,0.333
Jafel Filho,2,1,Orthodox,Flyweight,7,0,1,1,0,30,MALE,170.18,125,172.72,0.667
Walel Watson,1,2,Orthodox,Bantamweight,7,0,1,0,0,28,MALE,180.34,135,175.26,0.333
Syuri Kondo,1,2,Orthodox,Women's Strawweight,7,0,0,0,0,30,FEMALE,162.56,115,167.64,0.333
Jessamyn Duke,1,2,Orthodox,Women's Bantamweight,7,0,0,0,0,29,FEMALE,180.34,135,185.42,0.333
Shannon Gugerty,2,2,Orthodox,Lightweight,7,0,0,2,0,28,MALE,177.8,155,180.34,0.5
Akbarh Arreola,1,2,Southpaw,Lightweight,7,0,0,1,0,32,MALE,177.8,155,180.34,0.333
Claudio Ribeiro,2,2,Orthodox,Middleweight,7,0,2,0,0,31,MALE,185.42,185,195.58,0.5
Shamil Gaziev,2,1,Orthodox,Heavyweight,7,0,1,1,0,34,MALE,193.04,265,198.12,0.667
Seth Petruzelli,0,3,Orthodox,Light Heavyweight,7,0,0,0,0,30,MALE,182.88,205,193.04,0.0
Zarrukh Adashev,1,2,Southpaw,Flyweight,7,0,0,0,0,29,MALE,165.1,125,165.1,0.333
Marcelo Golm,1,2,Orthodox,Heavyweight,7,0,0,1,0,26,MALE,190.5,249,190.5,0.333
Antonio Carvalho,2,1,Orthodox,Featherweight,7,0,1,0,0,33,MALE,175.26,145,172.72,0.667
Da-Un Jung,2,0,Orthodox,Light Heavyweight,7,0,1,1,0,27,MALE,193.04,205,198.12,1.0
Montserrat Conejo Ruiz,1,2,Southpaw,Women's Strawweight,7,0,0,0,0,30,FEMALE,152.4,115,154.94,0.333
Chance Rencountre,2,1,Southpaw,Welterweight,7,0,0,1,0,32,MALE,187.96,170,190.5,0.667
Junior Assuncao,2,2,Orthodox,Featherweight,7,0,0,1,0,30,MALE,175.26,145,182.88,0.5
Katsunori Kikuno,2,2,Orthodox,Featherweight,7,0,0,1,0,33,MALE,172.72,145,167.64,0.5
Junior Tafa,1,3,Orthodox,Heavyweight,7,0,1,0,0,28,MALE,190.5,240,190.5,0.25
Brendan O'Reilly,1,2,Orthodox,Welterweight,7,0,0,0,0,29,MALE,170.18,170,175.26,0.333
Yao Zhikui,1,2,Orthodox,Flyweight,7,0,0,0,0,25,MALE,165.1,125,162.56,0.333
Phil Harris,1,3,Orthodox,Flyweight,7,0,0,0,0,30,MALE,162.56,125,162.56,0.25
Willie Gates,1,2,Orthodox,Flyweight,7,0,1,0,0,29,MALE,172.72,125,177.8,0.333
Fredy Serrano,2,1,Orthodox,Flyweight,7,0,2,0,0,37,MALE,160.02,125,165.1,0.667
Frankie Perez,1,2,Orthodox,Lightweight,7,0,1,0,0,28,MALE,180.34,155,185.42,0.333
Kevin Croom,0,2,Orthodox,Bantamweight,7,0,0,0,0,34,MALE,180.34,135,185.42,0.0
Reuben Duran,1,2,Orthodox,Bantamweight,7,0,0,1,0,29,MALE,170.18,135,175.26,0.333
Oluwale Bamgbose,1,3,Switch,Middleweight,7,0,1,0,0,30,MALE,180.34,185,198.12,0.25
Renee Forte,1,2,Orthodox,Lightweight,7,0,0,0,0,26,MALE,170.18,155,180.34,0.333
Justin Jaynes,1,3,Orthodox,Featherweight,7,0,1,0,0,31,MALE,170.18,145,172.72,0.25
Bart Palaszewski,1,2,Orthodox,Featherweight,7,0,1,0,0,29,MALE,175.26,145,177.8,0.333
Francisco Figueiredo,2,1,Southpaw,Flyweight,7,0,0,1,0,32,MALE,167.64,135,172.72,0.667
Philip De Fries,2,2,Orthodox,Heavyweight,7,0,0,1,0,26,MALE,195.58,250,208.28,0.5
Tomasz Drwal,3,2,Orthodox,Middleweight,7,0,2,1,0,28,MALE,185.42,205,193.04,0.6
Lauren Mueller,1,2,Orthodox,Women's Flyweight,7,0,0,0,0,27,FEMALE,165.1,125,170.18,0.333
Noad Lahat,2,1,Orthodox,Featherweight,7,0,0,0,0,31,MALE,175.26,145,175.26,0.667
Kazula Vargas,1,2,Southpaw,Lightweight,7,0,0,0,0,36,MALE,172.72,155,180.34,0.333
